unq:name,capacity,mass,drive_rating,max_ly_empty,max_ly_full,max_speed,boost_speed
'Adder',6,35,0.0,0.0,0.0,220,300
'Anaconda',228,2600,52345.0,19.7,17.6,180,235
'Asp Explorer',38,0,0.0,0.0,0.0,250,340
'Clipper',42,500,0.0,0.0,0.0,290,370'
'Cobra',36,114,1155.0,9.94,7.3,280,400
'Dropship',56,580,0.0,0.0,0.0,180,300
'Eagle',6,52,348.0,6.59,6.0,240,350
'Hauler',16,39,348.0,8.74,6.1,200,246
'Lakon Type 6',100,113,3455.0,29.36,15.64,220,329
'Lakon Type 7',104,420,0.0,0.0,0.0,180,300
'Lakon Type 9',440,1275,23720.0,18.22,13.34,130,200
'Orca',72,580,0.0,0.0,0.0,300,380
'Phyton',82,350,0.0,0.0,0.0,250,330
'Sidewinder',4,47,348.0,8.13,7.25,220,293
'Viper',8,40,348.0,13.49,9.16,320,500
